firm_category,firm_name,publication_number,title,filing_date,filing_year,publication_date,priority_date,inventor,assignee_raw
SAVUNMA,TUSAS,TR201809473A2,Bi̇r rotasyonel si̇metri̇k ve si̇metri̇k olmayan plasti̇k şeki̇llendi̇rme …,2018-07-03,2018,2018-07-23,2018-07-03,Anonim,Sirketi
SAVUNMA,TUSAS,TR201913059A2,Bir hava aracı.,2019-08-28,2019,2021-03-22,2019-08-28,Anonim,Sirketi
SAVUNMA,TUSAS,TR201913286A2,Bir eyleyici mekanizması.,2019-09-03,2019,2021-03-22,2019-09-03,Anonim,Sirketi
SAVUNMA,TUSAS,TR202010260A1,Bir navigasyon sistemi.,2020-06-30,2020,2022-01-21,2020-06-30,Anonim,Sirketi
SAVUNMA,TUSAS,TR202011047A2,Bir ölçüm sistemi.,2020-07-13,2020,2022-01-21,2020-07-13,Anonim,Sirketi
SAVUNMA,TUSAS,TR201710461A1,Bir rulman test aparatı.,2017-07-17,2017,2019-02-21,2017-07-17,Anonim,Sirketi
SAVUNMA,TUSAS,TR2022005071A2,Kablo kesici sistem.,2022-03-31,2022,2023-10-23,2022-03-31,Anonim,Sirketi
SAVUNMA,TUSAS,TR201821010A2,Bir ölçüm düzeneği.,2018-12-28,2018,2020-07-21,2018-12-28,Anonim,Sirketi
SAVUNMA,TUSAS,TR2023007258A1,Bir test düzeneği.,2023-06-20,2023,2025-01-21,2023-06-20,Anonim,Sirketi
SAVUNMA,TUSAS,TR201922038A2,Bir pedal ayar sistemi.,2019-12-27,2019,2021-07-26,2019-12-27,Anonim,Sirketi
SAVUNMA,TUSAS,TR201821041A2,Bir ölçüm düzeneği.,2018-12-28,2018,2020-07-21,2018-12-28,Anonim,Sirketi
SAVUNMA,TUSAS,TR2021015266A2,Bir mühimmat destek sistemi.,2021-09-30,2021,2023-04-24,2021-09-30,Anonim,Sirketi
SAVUNMA,TUSAS,TR202009516A1,Bir radar soğurucu yapı.,2020-06-19,2020,2021-12-21,2020-06-19,Anonim,Sirketi
SAVUNMA,TUSAS,TR2023019247A2,Bir Ekipman Sabitleyici.,2023-12-28,2023,2025-07-21,2023-12-28,Anonim,Sirketi
SAVUNMA,TUSAS,TR201821024A2,Bir ölçüm düzeneği.,2018-12-28,2018,2020-07-21,2018-12-28,Anonim,Sirketi
SAVUNMA,TUSAS,TR201821017A2,Bir ölçüm düzeneği.,2018-12-28,2018,2020-07-21,2018-12-28,Anonim,Sirketi
SAVUNMA,TUSAS,TR2023007508A1,Bir toz yataklı eklemeli imalat sistemi.,2023-06-23,2023,2025-01-21,2023-06-23,Anonim,Sirketi
SAVUNMA,TUSAS,TR201913130A2,Bir toz yataklı eklemeli imalat tezgahı.,2019-08-29,2019,2021-03-22,2019-08-29,Anonim,Sirketi
SAVUNMA,TUSAS,TR2023004193A1,Bir kapak hareket mekanizması.,2023-04-14,2023,2024-10-21,2023-04-14,Anonim,Sirketi
SAVUNMA,TUSAS,TR2023000765A2,Bir şekil verme tezgahı.,2023-01-23,2023,2024-08-21,2023-01-23,Anonim,Sirketi
SAVUNMA,TUSAS,TR202011008A1,Bir elektro kaplama sistemi.,2020-07-10,2020,2022-01-21,2020-07-10,Anonim,Sirketi
SAVUNMA,TUSAS,TR2022015043A1,Bir hibrit hava aracı.,2022-09-30,2022,2024-04-22,2022-09-30,Anonim,Sirketi
SAVUNMA,TUSAS,TR2022010860A1,Bir dalgakıran mekanizması.,2022-06-30,2022,2024-01-22,2022-06-30,Anonim,Sirketi
SAVUNMA,TUSAS,TR2022010859A2,Bir dalgakıran mekanizması.,2022-06-30,2022,2024-01-22,2022-06-30,Anonim,Sirketi
SAVUNMA,TUSAS,TR2022013606A1,Bir buz önleme sistemi.,2022-08-31,2022,2024-03-21,2022-08-31,Anonim,Sirketi
SAVUNMA,TUSAS,TR201710453A1,Hızlı serbest bırakma sistemi.,2017-07-17,2017,2019-02-21,2017-07-17,Anonim,Sirketi
SAVUNMA,TUSAS,TR2021021743A2,Bir fren sistemi.,2021-12-30,2021,2023-07-21,2021-12-30,Anonim,Sirketi
SAVUNMA,TUSAS,TR2021021202A1,Bir ısı kalkanı sistemi.,2021-12-27,2021,2023-07-21,2021-12-27,Anonim,Sirketi
SAVUNMA,TUSAS,TR2022008763A2,Bir kilit mekanizması.,2022-05-30,2022,2023-12-21,2022-05-30,Anonim,Sirketi
SAVUNMA,TUSAS,TR2021015322A1,Bir kilitleme mekanizması.,2021-09-30,2021,2023-04-24,2021-09-30,Anonim,Sirketi
SAVUNMA,TUSAS,TR202011726A1,Bir eyleyici mekanizması.,2020-07-23,2020,2022-02-21,2020-07-23,Anonim,Sirketi
SAVUNMA,TUSAS,TR202010329A1,Bir ölçüm düzeneği.,2020-06-30,2020,2022-01-21,2020-06-30,Anonim,Sirketi
SAVUNMA,TUSAS,TR202010324A1,Bir aviyonik ekran mimarisi.,2020-06-30,2020,2022-01-21,2020-06-30,Anonim,Sirketi
SAVUNMA,TUSAS,TR2021015265A1,Bir tahliye sistemi.,2021-09-30,2021,2023-04-24,2021-09-30,Anonim,Sirketi
SAVUNMA,TUSAS,TR2021010608A1,Bir kontrol düzeneği.,2021-06-29,2021,2023-01-23,2021-06-29,Anonim,Sirketi
SAVUNMA,TUSAS,TR202022410A1,Döner kanatlı hava aracı.,2020-12-30,2020,2022-07-21,2020-12-30,Anonim,Sirketi
SAVUNMA,TUSAS,TR202022267A1,Bir Toz Üretim Sistemi,2020-12-29,2020,2022-07-21,2020-12-29,Anonim,Sirketi
SAVUNMA,TUSAS,TR202022262A1,Metal Toz Geri Dönüşüm Sistemi,2020-12-29,2020,2022-07-21,2020-12-29,Anonim,Sirketi
SAVUNMA,TUSAS,TR202008311A1,Bir çevrim sayar mekanizması.,2020-05-29,2020,2021-12-21,2020-05-29,Anonim,Sirketi
SAVUNMA,TUSAS,TR200900498A2,Termal püskürtme ile üretilen kaplamalarda proses ve metalografik numune …,2009-01-23,2009,2009-03-23,2009-01-23,Sanayi̇i̇,A.Ş.
SAVUNMA,TUSAS,TR201104420A1,Perçinleme işlemlerinde kullanılan bir tutucu mekanizması.,2011-05-06,2011,2012-11-21,2011-05-06,Sanayi̇,Aş
SAVUNMA,TUSAS,TR200910034A2,Yüzer tasarım kavramına uygun kargo-rayı bağlantısı.,2009-12-31,2009,2011-07-21,2009-12-31,Anoni̇m,Şi̇rketi̇@
SAVUNMA,TUSAS,TR200806755A2,Silindir somunlu kompozit kemik yapı,2008-09-08,2008,2010-03-22,2008-09-08,Sanayi̇i̇,A.Ş.
SAVUNMA,TUSAS,TR200805363A2,Plazma kaplı direnç nokta kaynağı elektrotu.,2008-07-21,2008,2008-12-22,2008-07-21,Sanayi̇i̇,A.Ş.
